文件名		计算结果	预测成功率	预测成功次数	总预测次数
array_test1 	123	54.5455% 		12		22
array_test2 	43	50%		13 		26
basicopt1 	88	99.1943%		153889		155139
bulgarian 	159	94.5701%		67611		71493
expr 		58	72.0721%		80		111
gcd 		178	62.5%		75		120
hanoi 		20	98.2815%		17157		17457
lvalue2 		175	66.6667%		4		6
magic 		106	82.7197%		56141		67869
manyarguments 	40	80%		8		10
multiarray 	115	53.0864%		86		162
naive 		94	//
pi 		137	85.345%  		34100754	39956380
qsort 		105	94.5437%		189130		200045
queens 		171	80.9611%		62434		77116
statement_test 	50	63.3663%		128		202
superloop	134	95.8874%		417136		435027
tak 		186	78.5353%		47623		60639

